PC7,PC6,PC5,PC4,PC3,PC2,PC1
0.43226,-0.17071,-0.84004,-0.45538,0.91003,-0.66142,-1.60795
-0.27494,-0.88149,-0.13369,-1.13210,-1.19594,1.10766,-0.42211
0.00260,0.52551,0.06520,0.85102,0.21501,-0.08513,-3.11816
-0.72059,0.31122,0.27615,-0.07334,-0.51871,-0.10939,-1.23176
1.61264,-1.25722,0.12667,-0.19829,0.38910,-0.31465,2.35621
-1.06659,0.41911,-0.04963,-0.09897,-0.85513,-0.80324,-0.25438
0.24870,-0.05892,0.16465,1.08505,-0.36608,-0.07215,-0.21135
0.30798,1.03589,0.15994,0.02907,-0.48526,-0.33553,-0.51983
0.49798,-0.26141,-0.11720,-0.86318,-0.29393,-0.50844,0.51066
0.27291,-0.15827,-0.50408,0.90026,0.84399,-0.03570,-1.77823
0.09923,0.12769,-0.01025,0.45087,0.92385,-0.60106,1.98917
0.95929,0.20414,-0.06034,0.25619,-0.27401,-0.49505,1.23910
-0.02012,0.88038,0.35198,0.61955,-0.42139,-0.36435,0.88419
0.08292,0.40902,0.24909,1.03887,-0.45152,-0.18370,1.50989
0.11858,-0.41768,0.10348,0.58536,-0.12911,0.28115,0.59715
0.18946,-0.18413,0.90530,-0.46172,-0.61154,1.04155,-0.48059
-0.81735,0.28676,0.12396,-0.67774,0.28583,10.77940,-1.75881
-0.42294,-0.12329,0.22130,0.16134,-0.85709,-0.16869,2.66103
-0.17465,0.10295,0.43244,0.07320,0.37117,0.04955,-1.97046
-0.46551,0.01596,-0.00022,-0.00233,-0.47613,-0.90451,0.54066
0.22097,0.01111,0.28991,0.44388,0.21521,-0.24912,-0.51188
0.50929,-0.32298,-0.00493,-1.02587,-0.32137,-0.68534,0.48606
0.36372,0.10297,0.20538,0.54835,0.21711,-0.33184,2.34257
0.12244,-0.26769,0.24501,0.54211,0.95567,-0.33165,1.25067
0.65635,-0.29683,-0.04953,-0.73444,-0.63527,-1.03844,-1.56356
0.41533,-0.36154,-0.02616,-0.45527,-0.22122,-0.63688,0.12609
0.27646,0.23685,0.96321,0.40945,-1.08784,1.92743,-2.88750
0.16827,-0.87124,0.10114,-0.66095,-0.87139,0.21476,2.36526
-0.47769,-0.49771,-0.24284,-0.26610,0.78371,-0.71746,-1.21219
-0.24426,0.38558,0.44464,0.43690,-0.10961,-0.28339,0.20340
-0.05292,0.18612,0.58672,0.72559,0.96551,-0.27690,-1.00108
-0.74694,0.35805,-0.33836,0.02155,2.62920,-0.70323,2.37215
0.40710,-0.09867,-0.11426,-1.15273,0.14932,-0.82119,-0.32502
0.37740,-0.12412,-0.12206,-0.71922,-0.85380,-0.21962,2.07042
0.81179,-0.02586,0.02537,-0.75742,-0.81107,-1.04585,-2.21355
-1.10275,-0.75403,-0.13535,-0.19744,-0.29528,-0.75682,1.79385
-0.54007,-0.01568,-1.72074,1.41578,-0.02416,0.31114,-1.40668
0.17849,-0.49622,-0.05770,0.41908,-0.14591,-0.60827,0.41235
0.34049,-0.17980,0.37820,-0.12307,-0.96288,-0.10124,2.33605
0.17182,0.76820,0.13007,-0.11662,0.50829,-0.20274,-2.82120
0.28308,-0.56095,-0.08866,0.30424,-0.59678,-0.54808,-0.61852
0.61459,-0.25684,-0.19286,-1.41426,0.18358,-0.65070,0.89611
-0.50087,-0.56814,-0.07352,0.86433,1.15639,-0.67667,1.73697
-0.15230,-0.08748,1.42403,0.61424,1.17362,1.57100,-0.67279
-0.23535,0.52940,-0.77941,0.18802,0.96321,0.05857,-0.81926
0.47633,0.03624,0.15317,0.60349,0.06756,0.51478,0.28505
0.34731,0.38167,0.35243,0.55070,0.65936,-0.63136,-1.78605
0.91206,0.72028,0.13743,-0.60008,-1.05175,0.05187,2.26391
-0.62547,0.23232,-0.05887,-0.72759,0.12655,-0.22022,-1.32793
0.03582,-0.08833,0.00910,0.49949,-1.33862,-0.22352,-0.78242
-0.51843,0.28311,0.54183,0.32013,-0.05734,-0.29083,0.39157
-0.13671,-0.56003,0.34154,0.89281,-0.23712,-0.72421,-1.21243
-0.81540,-0.71430,-0.05831,-0.19201,0.94398,-0.79662,0.01397
-0.72897,1.17123,-0.50793,-0.54492,0.00300,-0.59284,3.43295
0.24211,-0.53291,0.06939,-0.71613,-0.94883,-0.76462,-0.17019
-0.21246,-0.57745,0.07121,-0.64611,0.14467,-0.99909,-2.51963
0.23474,-0.74640,0.35353,-0.48799,-0.73391,-0.74965,-2.18220
0.63623,-1.36816,-6.34368,1.14353,-1.00596,7.06866,-2.06539
0.04917,0.89885,0.92337,1.20804,-1.12103,0.78728,0.73306
0.31960,0.78332,-0.14544,0.48263,-0.29261,-0.20409,-0.62513
0.22055,0.04011,-0.04280,-0.26729,0.44277,-0.93595,-0.56092
0.35645,-0.65709,0.36655,0.59477,-0.20691,-0.64877,-0.20283
0.22717,-0.64767,-0.58022,0.25942,-1.12792,0.38928,-1.22400
0.19213,-0.08227,0.66636,0.70085,-0.07991,-0.28534,-1.16230
0.28240,0.19014,-0.39494,-1.06161,-0.04467,-0.29791,2.72250
-0.15765,0.13190,-1.13119,1.04465,0.16195,-0.01627,-1.05519
-0.36555,0.42804,0.41258,0.52238,-1.12087,-0.21463,1.30945
0.02279,-0.53278,-0.03882,-0.42201,1.23177,-0.71325,-1.99202
-0.21855,-0.26033,-0.15222,-0.33294,-0.43245,1.30087,-0.00093
0.23127,-0.15580,0.17333,0.48484,0.03822,-0.39654,0.44520
-0.21928,0.51608,0.83774,1.39115,-0.24877,-0.23551,0.06076
0.34138,-0.07326,-0.12299,-0.67280,-0.10870,-0.87885,-2.26125
-0.44845,-1.29524,0.05770,-1.56689,-0.80733,-0.32906,0.25192
-0.33911,-0.26498,0.23748,-0.29709,0.78188,0.08014,3.25435
-0.24381,-1.13636,-0.77357,0.09410,0.36416,0.00138,-3.48208
-0.40869,-0.42625,-0.08732,-0.85043,1.21149,-0.03016,-2.74027
-0.24114,0.16362,1.40982,-0.03535,0.50904,4.41369,-0.47977
-0.88934,0.50654,-0.58913,-0.32053,-0.97517,-0.69343,1.23437
-0.34089,-0.26292,-0.70783,-0.26165,0.57958,0.07336,1.30562
-0.53622,0.05397,0.00967,0.06971,-0.70453,-0.07832,-1.73813
-0.60146,0.44294,-0.07934,0.53318,1.31848,-0.59973,2.33261
0.45018,-0.78885,0.49327,1.80216,-0.82096,0.35854,1.62911
-0.38878,0.17049,-0.21642,0.16219,2.19142,-0.34901,2.05941
-0.04951,-0.52133,-4.19320,1.82154,-0.21820,4.97830,-0.81994
-0.13652,-0.14038,0.17623,0.14294,-0.81522,-0.76415,0.52345
0.18246,-0.18824,-0.08241,-0.05922,-0.04612,-0.63978,0.19346
0.15982,0.18574,0.00192,0.08124,-0.25241,-0.36151,1.89078
0.36589,0.04783,0.33650,0.41092,-1.04232,-0.43883,-0.72242
-0.73170,-1.20831,-0.20932,-0.86648,-1.19379,-0.56973,0.14886
-0.58679,0.93096,-0.36221,-0.36537,0.08982,-0.48376,3.06379
-0.47900,0.32700,-0.04311,-0.87168,-0.29653,-0.21265,2.36110
0.10763,0.43703,-0.41506,0.37938,-0.26462,-0.71451,-0.19161
0.07184,0.19853,-0.36310,-1.03394,1.41283,-1.10315,-1.48362
0.02587,-0.68820,-0.33431,-0.58681,0.23918,-0.11119,1.50783
-0.02158,-0.56940,-0.13148,-0.67303,-0.22608,0.40524,1.74442
-0.06293,0.98308,-0.34184,0.19319,-1.68945,-0.01241,-1.18784
-0.22471,0.00335,1.56262,-0.14795,0.04325,0.75738,-1.45845
-0.01095,0.84227,0.41207,0.86534,-1.25994,-0.04850,0.03072
0.18377,-0.30209,-0.17098,0.62606,0.61022,-0.85951,-1.55652
-0.06469,-0.71079,0.82022,-0.13901,0.04671,0.86739,-2.30499
-0.00630,0.80232,-1.38314,0.88101,-1.60045,0.20538,-0.98498
0.39419,-0.17453,-0.37051,-0.96374,0.15970,-0.56910,-1.30766
0.42259,0.73355,-0.70496,1.39019,0.54686,1.03206,-2.27248
0.15921,-0.01056,0.37062,0.35047,0.21555,-0.53874,-0.81679
0.17264,-0.45824,0.25739,0.14847,0.68016,-0.40660,-0.74930
0.39617,0.08564,0.05659,-0.68731,0.20614,-0.63728,-0.14721
-0.35651,-1.01751,0.27764,-0.22566,0.68729,-0.77883,-3.97564
-0.44446,0.91920,-0.20869,0.56771,-0.54713,-0.03121,-0.13467
0.26349,-0.47833,0.06439,-0.07945,-0.27568,-0.90710,-1.74891
-0.70328,-0.50694,-0.48787,-0.22401,-0.92560,-0.61249,-1.56356
0.23558,0.46864,0.64272,1.65885,0.07002,-0.32949,0.58084
-1.30720,0.02311,-0.40617,-0.44106,0.11600,-0.79985,-2.27651
-0.30116,0.21805,-0.34532,-0.19367,-0.59642,-0.73544,0.89323
-0.36536,0.49554,-0.32492,-0.51006,-0.64085,-0.35872,0.25487
0.51260,0.33766,0.42464,1.54989,1.69840,-0.02886,3.56614
0.51499,-0.17289,0.31553,-0.57970,0.30405,-0.01932,-0.04332
-0.05138,-0.69624,-1.64333,0.42390,-0.01069,3.52522,-1.41163
-0.46934,-0.92977,0.05112,-0.66208,-0.47852,-0.04831,1.87884
-0.01695,-0.48984,-0.09475,-0.61392,0.21962,-0.08348,1.86819
0.17495,-0.08767,0.84457,0.01609,-0.29777,0.41927,-0.76680
-0.50930,-0.59299,-0.99158,-0.45067,0.31526,1.32924,1.91423
0.14819,-0.78304,0.41057,1.03327,-0.61989,-0.68747,0.07826
-0.05749,0.73137,0.46080,0.34844,-0.23573,0.01427,0.40586
-0.55614,-0.66403,0.24305,0.24562,-0.17308,0.23520,-1.44934
0.42576,-0.20542,-0.72148,0.47906,-0.00415,-0.06941,-1.52386
0.26699,-0.13187,0.02748,0.09219,-0.11457,-0.04109,-1.25525
-0.74414,-0.14414,-0.06368,-0.22099,-0.87103,-0.60380,3.04149
0.09419,-0.23310,0.09866,1.36816,-0.90846,2.77626,-1.70860
0.61427,-0.16162,0.02299,-0.15603,-0.94803,-0.79958,0.88287
0.11109,-0.56642,0.42524,0.58487,-0.27302,-0.78716,-2.10090
-0.07186,-0.18427,0.27841,0.71651,0.99770,-0.41176,0.39777
0.20604,-0.22211,0.37133,0.82034,-0.32894,1.58510,-1.14141
0.77173,-0.21343,-0.12084,-0.81355,-0.32703,-0.39851,-0.61986
0.08296,-0.06886,-0.24591,-0.97418,-1.56875,-0.58265,1.96257
-0.09413,0.29359,-0.15780,-1.35181,2.03996,0.19777,1.87914
0.23492,-0.11935,0.72982,0.16140,-0.57284,0.16503,-0.17104
-0.57202,0.24050,-0.12634,0.48127,2.04094,-0.54049,2.33427
-0.82943,-0.42749,-0.44824,-0.69883,0.68689,0.40247,1.22896
-0.18600,-0.63299,0.11785,-0.28209,0.37734,-0.92091,-1.97109
0.79385,1.07773,0.20254,-0.95063,-1.32033,-0.24500,0.02225
-0.70303,0.34687,1.08534,1.32240,-0.45781,0.88576,-1.83953
-0.06727,-0.11829,0.29984,0.12034,0.20780,-0.65745,-1.85669
-1.05974,-0.35310,-0.54088,-0.66309,0.13183,-0.57625,1.29068
-0.51562,-0.28496,-0.18976,-0.36277,0.09732,-0.57214,0.91399
-0.33813,0.32474,-0.04742,-0.27429,1.72913,-0.46119,-0.28134
-0.14619,-0.10875,0.12723,-0.80780,0.41492,-0.37532,-1.92606
-0.25791,-0.11653,-0.13467,-0.15956,-0.08062,-0.47343,0.80676
-0.32678,-0.36600,-1.90799,-0.39796,0.05792,10.10084,-2.23792
0.10643,0.39648,0.11219,0.51514,0.23055,-0.54495,1.03215
0.32420,0.52849,-0.01986,0.68582,0.32544,-0.80519,-1.75206
-0.72630,-0.01269,-1.19127,-0.05337,0.79265,0.05996,-0.35325
-0.15230,-0.57272,0.30902,0.90948,0.19165,-0.74558,-0.65150
-0.34163,-0.39019,0.08857,1.07850,-1.04997,-0.29478,0.65502
-0.25047,0.06666,0.38771,0.19674,0.04813,-0.56665,-1.62638
-0.02665,0.81571,0.30762,0.87522,-1.19413,0.35186,0.08803
0.35979,-0.48473,-0.05412,-0.33360,-0.21603,-0.73320,0.24225
0.36852,0.02891,0.23109,0.02607,-1.52117,-0.21858,2.68891
0.29981,-0.66602,-0.00435,0.81118,0.94344,-0.68010,0.14385
0.11583,0.68327,0.70333,0.71839,1.39875,0.22998,-1.37436
0.22567,-0.09858,0.55581,-0.21688,-0.31799,1.85617,-0.17005
-0.33130,-0.19997,0.06177,0.18022,0.40120,-0.06947,0.43440
0.56033,0.57366,-0.00848,0.06711,-0.32389,0.13754,4.21193
-0.11892,-0.55432,0.43264,0.99782,0.08176,-0.46534,-0.58544
0.06342,-0.77988,0.33971,0.64179,0.61773,-0.83720,-1.06289
0.25826,0.20965,-0.31850,-0.54963,0.67035,-0.63032,3.04260
0.15952,-0.25095,-2.12750,-0.79222,-0.84076,9.80804,-1.06429
0.09432,-0.31791,0.24699,1.08351,0.00532,-0.25191,-0.36555
-0.06042,-0.00431,-0.18826,0.46275,-0.29258,-0.24667,-1.11686
0.41596,0.54141,1.60172,0.89575,0.40343,2.22806,0.57058
-0.44716,-0.16035,-0.57951,-0.35913,0.22741,-0.15054,-1.89856
-0.05994,-0.20041,-0.05878,-0.26989,0.42317,-0.32672,1.68776
-0.32645,-0.57098,-0.41404,-0.13011,0.28537,-0.56138,-1.49672
0.31864,-0.34987,0.11266,0.54384,0.11013,-0.92667,0.03916
0.40290,-0.45904,-1.53098,1.80089,-0.42938,1.31582,-1.03281
0.07234,-0.41574,-0.04547,-0.24005,-0.98006,-0.23107,1.16055
-0.87800,-0.45410,-0.80662,-0.03794,-0.05542,1.02365,-2.18467
0.07073,-0.50178,-0.22744,0.45071,0.89744,-0.99323,-1.87488
0.42587,-0.15444,-0.00670,-0.96747,-0.50903,-0.91657,-1.76483
0.18481,0.25843,0.79311,0.43014,-0.37108,0.03926,0.27794
-0.06222,1.28454,0.68545,1.33998,-0.73118,-0.11723,1.80923
0.23258,-0.86199,-0.03257,0.85163,-0.65541,-0.47261,-1.84582
-0.53156,-0.14410,0.41005,0.06661,0.32637,-0.08689,0.12688
0.56571,-0.34993,-0.06992,-1.38881,-0.45862,-0.74119,0.64414
0.85155,-0.77870,-0.38746,-1.91416,0.26307,-0.72077,-0.27171
0.18273,0.28513,0.41174,-0.23068,0.05420,-0.51078,-1.33034
0.05553,-0.62827,0.35146,0.28009,-0.15455,-0.42399,-2.11024
0.27392,-0.02316,-0.03641,-0.65857,-0.31649,-0.76953,0.19113
-0.22514,0.65241,-0.13233,-0.42835,0.04359,0.63196,-0.88179
0.74503,0.52928,-0.01762,-0.32528,-0.76849,-0.03321,1.99504
-0.06711,-0.43176,0.26006,0.04475,0.81707,-0.77662,-2.53497
0.32730,-0.10243,-0.03871,-1.45500,-0.95644,-0.71228,-0.15409
-0.12932,-0.65286,0.02718,-0.65521,1.08637,-0.51440,-2.38898
-0.40883,0.01336,-0.12489,-0.30208,0.10682,0.06824,0.41063
-0.40864,-0.66796,-0.04894,-0.36202,0.21900,-0.76000,0.16679
0.66157,-0.04782,0.09647,-1.06714,-0.68163,-0.39690,-0.87159
0.07856,0.31133,2.82394,-0.92257,-0.38076,3.41597,2.58992
0.12965,0.84413,-0.30565,0.68536,0.51944,2.32590,-2.69817
-0.32002,-0.39290,-0.00043,0.67235,0.06313,-0.60831,0.44821
0.04048,0.08056,0.24452,0.87491,0.17370,-0.38149,1.71449
0.39428,0.26403,-0.81703,-0.16491,-0.82425,2.88055,-0.27482
0.25503,0.01200,-0.23484,-1.12215,0.91360,-0.68112,-0.74721
-0.16093,-0.33756,-0.10299,-0.61294,-0.72776,-0.65363,-0.67741
-0.14371,0.53898,-0.13907,-0.44629,1.16071,-0.52051,-0.94785
0.13057,-0.31346,-0.59535,-0.41443,1.21179,-0.74501,-0.57921
-0.40212,0.69940,-0.21526,-0.57472,-0.40571,-0.27632,1.35792
-0.49222,0.58708,-0.41436,-0.45974,0.06905,-0.75675,2.61623
0.29090,-0.13160,-0.10115,-1.32830,-0.16537,-0.93246,-2.22787
-0.04775,0.51247,-1.62953,0.31325,-0.27693,-0.81785,-0.64493
-0.71378,1.02541,0.03279,0.12370,-0.26161,0.39759,-2.09323
0.03093,0.39339,-0.00068,0.30170,0.58065,-0.71196,0.70230
0.29297,0.51010,0.34601,1.10276,1.86410,-0.23456,1.82508
-0.19091,-0.20372,0.30089,-0.15221,0.16653,-0.32151,-2.61823
-0.44266,-0.35781,-0.04687,0.00295,0.01517,-0.23793,0.31314
0.36074,0.02170,0.80761,0.71784,-0.43626,0.04648,0.30942
0.08364,0.25809,-2.59554,1.89839,-0.80836,-2.63111,0.69684
-0.26752,-0.21815,-0.04802,0.12055,0.32914,-0.56031,0.72660
0.40041,0.36285,-0.06133,1.06805,0.05351,0.99082,-1.74663
