DEP,ESTE,NORTE,X9,X8,X7,X6,X5,X4,X3
"1",256779.36610000001,912654.01879999996,-0.34688,1.51520,3.72779,1.24447,0.08752,120.23405,306.29037
"1",256203.09830000001,910460.29570000002,-0.43932,1.51761,3.73930,1.21160,0.06099,93.79191,209.29300
"1",177259.97260000001,932243.78009999997,0.46785,2.39152,4.67068,1.81551,0.94984,96.66655,90.51536
"1",257415.56980000000,876142.03350000002,0.04584,2.01496,3.74002,1.14375,0.97614,150.54202,324.41174
"1",258778.95890000000,875095.56310000003,0.02025,2.10293,3.76235,1.18709,0.65728,92.90823,357.05933
"1",253457.18210000001,880206.84479999996,-0.05980,1.90567,3.75799,1.37599,0.44640,51.06094,-5.01460
"1",250112.16469999999,880962.52200000000,0.18815,1.74931,3.84498,1.19617,0.16971,25.88007,-36.47198
"1",253998.04879999999,880215.37390000001,-0.02968,1.93200,3.85699,1.22685,0.45601,29.16034,11.88797
"1",247225.37049999999,883649.15179999999,-0.09495,1.76498,3.90588,1.12422,-0.03998,36.75370,39.17264
"1",251217.73569999999,880747.48719999997,0.46054,1.73144,3.79165,1.24537,0.34266,53.34557,-39.77266
"1",252389.84539999999,880449.52300000004,0.21357,1.80562,3.78360,1.28915,0.37543,74.91349,15.78619
"1",186277.25469999999,888680.66029999999,-0.27337,1.76151,4.24033,1.07841,0.06262,114.60730,-56.79264
"1",278160.53690000001,891446.44960000005,-0.61104,1.49796,3.60668,1.18424,-0.26812,49.47483,381.94989
"1",221682.08880000000,905515.09210000001,-0.01175,1.88376,4.23162,1.21559,0.01743,26.02646,-5.89549
"1",226487.57870000001,895672.42940000002,0.09599,2.39290,4.57353,1.44543,0.25657,171.35136,561.80682
"1",282436.70580000000,878753.03890000004,-0.28739,1.48438,3.48091,1.01576,-0.54155,27.85505,185.89287
"1",282724.60369999998,879180.95449999999,-0.35074,1.71796,3.43853,1.30130,-0.16835,102.43624,178.84854
"1",282104.58100000001,879222.13690000004,-0.33795,1.61968,3.58526,1.15589,-0.09502,60.70063,171.38264
"1",282126.78360000002,879555.93090000004,-0.33795,1.61968,3.58526,1.15589,-0.09502,60.70063,171.38264
"1",283042.08230000001,878489.38690000004,-0.35074,1.71796,3.43853,1.30130,-0.16835,102.43624,178.84854
"1",282637.73300000001,879521.98470000003,-0.33795,1.61968,3.58526,1.15589,-0.09502,60.70063,171.38264
"1",281596.57089999999,882496.99520000000,-0.39713,1.63280,3.73066,1.19192,0.19890,10.08838,207.11281
"1",280125.62540000002,881385.09080000001,-0.44232,1.60188,3.74937,1.13687,0.46426,54.11197,228.03062
"1",283758.55619999999,877548.00879999995,-0.35136,1.59784,3.45626,1.15734,-0.24437,93.30125,197.76283
"1",282931.27960000001,879167.25309999997,-0.35074,1.71796,3.43853,1.30130,-0.16835,102.43624,178.84854
"1",256960.06240000000,911633.83080000000,-0.34688,1.51520,3.72779,1.24447,0.08752,120.23405,306.29037
"1",235963.42210000000,892199.19169999997,-0.31983,1.75554,4.11973,1.16864,0.16019,43.22707,246.87483
