ETIQ,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"9",-0.38946,0.23533,-0.04561,-0.21530,-0.14231,-0.56533,-0.32462,1.48745,-0.87651
"9",-0.76128,-0.25309,0.39450,-0.90577,-0.89172,-1.24160,0.31652,-0.92901,0.79574
"9",-0.24692,0.19704,1.20956,-0.32788,0.04019,-0.03946,-0.83949,0.95935,-1.62673
"9",0.53772,1.09149,0.88870,-0.24399,-0.56242,-0.15391,-0.22778,-0.34550,-1.49643
"9",0.12304,-0.77014,0.25187,-0.68091,0.02614,-0.67420,-0.91100,-0.39953,0.37528
"9",0.15230,-1.00450,-2.59416,-1.49079,-1.08328,0.10066,-0.76844,0.10177,-0.06321
"9",-0.05000,0.27345,0.09802,0.76389,-0.87433,0.72832,0.66351,-0.85892,-0.54872
"9",0.35739,-0.37122,-0.45758,-0.12840,0.69317,-0.69419,-0.38344,2.87887,-0.82561
"9",-0.70991,0.13868,-0.10275,0.34944,0.57546,-0.02477,-0.73373,-0.11187,0.91343
"9",-0.32274,-0.12553,0.07534,0.52835,-0.26311,-0.74877,1.59919,-1.19332,1.54927
"9",0.33911,-0.19624,0.35762,-0.65874,0.29372,1.41761,0.21579,0.12891,4.49956
"9",0.33832,-0.16398,0.42059,-0.56739,-0.33900,0.30781,-0.89733,0.10043,1.79063
"9",-0.14126,-0.14591,1.34847,-0.16420,0.26723,0.37183,-0.23735,1.97311,-2.35588
"9",0.48995,0.25037,0.75895,-0.30377,1.29314,0.07348,-1.07559,0.50155,-1.39080
"9",-0.59902,0.11279,0.02339,0.19040,-0.99272,-0.11632,-0.10670,0.23863,0.54716
"9",-0.25773,-0.60920,-0.03011,-0.13001,-0.04343,-0.82861,0.07686,-0.34470,-0.00663
"9",-0.41074,-0.45898,0.07497,-0.20885,0.06549,-0.24848,1.36256,-1.38103,1.80907
"9",-0.14140,0.16106,-0.25619,1.21536,-0.69122,0.27643,-0.27335,-0.89663,-2.23696
"9",0.12329,0.28045,-0.13213,-0.15683,0.10118,2.16115,-0.21685,-1.15550,-1.88636
"9",0.79976,-0.51203,-0.04575,-0.03883,-1.37785,0.92601,-0.58049,0.33315,4.46132
"9",-0.01108,0.49192,0.02018,-0.07189,0.36007,-1.71273,2.76853,-2.53815,-3.00806
"9",0.34861,-0.61893,0.16646,0.61289,0.26800,0.60802,0.94274,-1.05165,-1.17589
"9",-0.20781,-0.13837,0.11402,0.74682,-0.78106,-0.66551,-0.79928,1.01787,-0.76694
"9",0.30220,0.20642,0.05772,0.18601,0.61304,-0.95653,-0.36961,-0.52365,2.67406
"9",-0.44388,0.05404,0.84974,-1.25809,-0.65940,-0.43893,0.00814,0.95602,-1.44328
"9",-0.27222,-0.27386,0.06477,-0.95029,2.67160,0.80569,-0.62703,-0.53137,3.14986
