DEP;PC1;PC2;PC3;PC4;PC5;PC6;PC7
1;-1.29805;0.84265;0.3312;0.67621;0.62048;-0.00395;-0.35435
1;1.76332;1.79198;3.22185;-1.03212;-0.04215;-1.22181;0.02111
1;-0.15928;-0.36533;-0.50492;-0.39519;0.06743;-0.60269;-0.34747
1;1.38913;0.03944;0.73589;0.32461;-0.10185;-1.78657;-0.74698
1;-0.06885;-0.20215;-0.24635;-0.27256;-1.11915;0.55533;-0.29348
1;1.09683;-0.52458;-0.74581;-0.15062;-0.05988;-0.16494;-0.39748
1;3.70112;3.11928;-0.63148;-0.50817;1.00074;0.27458;0.61888
1;-2.79565;-0.02732;-1.66469;-0.592;0.92611;-0.91928;-0.46039
1;-1.20402;0.86046;-0.58095;0.99064;0.82264;-1.11331;0.56067
1;-1.94986;0.70209;-0.68331;0.25269;0.69226;-0.93773;0.08245
1;-1.20402;0.86046;-0.58095;0.99064;0.82264;-1.11331;0.56067
1;-1.03972;1.45996;0.34377;0.64018;0.81872;-0.25594;-0.56781
1;0.06249;0.59308;0.27215;-0.29572;0.72376;0.60223;-0.24988
1;-2.08551;0.7308;0.09736;0.06066;0.53861;-0.20559;-0.15479
1;-1.19169;1.00033;0.21427;0.70695;0.51695;-0.21027;-0.47739
1;-0.94551;1.52589;-0.16397;0.66897;1.72763;-0.86663;0.51161
1;-2.02542;-0.06191;0.3592;-0.04599;0.55239;-0.51471;-0.16527
1;3.92398;1.04696;2.25997;-0.43363;-0.55341;-0.73474;0.9464
1;1.06847;1.14676;1.09644;-0.93481;-0.60448;-0.67972;1.21939
1;-0.16355;0.64805;0.25543;-0.70132;0.51672;-0.5029;-0.45708
1;4.40861;-0.02954;1.45354;-0.2273;-0.59688;0.5051;1.13641
1;-0.2794;-0.30484;1.12165;-0.28208;-0.0554;0.57681;0.62226
1;-1.57282;0.69328;-0.50378;-0.10084;1.19203;-0.04756;-0.11433
1;-0.68322;-0.39604;-1.09182;0.48176;0.39851;1.15661;0.62777
1;2.46492;0.0133;-0.16876;-0.13075;-0.00955;-0.57077;-0.46117
1;-1.52403;0.73203;-0.83071;0.05702;0.19485;-0.17497;0.08761
1;-2.12036;0.91448;-0.98498;0.09467;0.76809;-0.05577;-0.22761
1;-0.82676;0.32013;-0.04958;0.7958;-0.24083;-0.15128;-0.03416
1;-3.12675;-0.09656;1.08415;0.84488;0.30432;0.31945;0.06697
1;-1.61051;1.00955;-0.18782;0.27381;1.28443;-0.77282;0.21218
1;-0.97411;0.62616;0.2913;0.55453;0.92787;-0.27534;-0.67006
1;3.50578;-0.62079;0.02288;-1.51374;-0.89971;1.30421;0.56499
1;-0.43012;-0.33021;-1.20986;-0.81954;0.13531;-0.43731;-0.23949
1;2.32208;0.4601;-0.15588;1.08283;0.86636;-1.11523;-0.01669
1;3.79786;-0.80039;-0.49564;-1.31647;-0.76629;1.22121;-0.71254
1;7.31254;3.1418;0.24608;0.25807;2.29557;-1.9878;0.31374
1;2.30669;0.24736;1.02626;0.29305;0.36963;0.17483;-0.4708
1;3.36203;0.05455;0.40314;0.65051;0.32544;-1.30827;-0.43618
1;1.83186;-0.14637;0.24911;0.43893;0.28045;-0.21669;-0.00366
1;2.09465;-0.27238;0.36165;-0.15969;0.21596;-0.20383;-0.28927
1;2.77509;0.66955;-0.74261;-0.69458;-0.16583;-1.45295;-0.74684
1;-0.05938;-0.37902;-0.66872;-0.22736;0.4424;-0.0641;-0.51082
1;-1.03972;1.45996;0.34377;0.64018;0.81872;-0.25594;-0.56781
1;-1.29805;0.84265;0.3312;0.67621;0.62048;-0.00395;-0.35435
1;6.73945;1.13211;1.27322;1.97016;0.27067;-0.78473;-0.10983
1;1.39198;-0.10208;1.1194;1.01562;0.21572;-1.19461;0.20242
1;-1.20402;0.86046;-0.58095;0.99064;0.82264;-1.11331;0.56067
1;-1.20402;0.86046;-0.58095;0.99064;0.82264;-1.11331;0.56067
1;-1.45022;0.37236;-0.21973;0.15974;0.70597;-0.63994;-0.04223
1;-1.94986;0.70209;-0.68331;0.25269;0.69226;-0.93773;0.08245
1;-1.20402;0.86046;-0.58095;0.99064;0.82264;-1.11331;0.56067
1;-1.19169;1.00033;0.21427;0.70695;0.51695;-0.21027;-0.47739
1;-1.19169;1.00033;0.21427;0.70695;0.51695;-0.21027;-0.47739
1;-2.02542;-0.06191;0.3592;-0.04599;0.55239;-0.51471;-0.16527
0;4.57054;-0.02293;-1.25046;-0.13742;-0.25614;0.61692;0.05265
0;0.52975;-0.08368;-0.07933;0.24388;0.09448;-0.20272;0.30307
0;2.76931;-0.4692;-0.47483;0.18205;-0.04321;0.17402;0.25085
0;1.56967;-0.46188;0.32617;0.56;0.08744;-0.46822;0.36263
